Source,Title,Price,Rating,Link
Ajio,Men Lace-Up Round-Toe Sneakers,1826.0,,https://www.ajio.com/red-tape-men-lace-up-round-toe-sneakers/p/702080855_green?
Ajio,Men Low-Top Sneakers with Lace Fastening,1320.0,,https://www.ajio.com/bond-street-redtape-london-men-low-top-sneakers-with-lace-fastening/p/702416487_black?
Ajio,Round-Toe Sports Shoes with Lace Fastening,1440.0,,https://www.ajio.com/red-tape-round-toe-sports-shoes-with-lace-fastening-/p/467164722_black?
Ajio,Men Lace-Up Outdoor Shoes,1350.0,,https://www.ajio.com/red-tape-men-lace-up-outdoor-shoes/p/700866624_olive?
Ajio,Men Round-Toe Sneakers with Lace Fastening,1958.0,,https://www.ajio.com/red-tape-men-round-toe-sneakers-with-lace-fastening-/p/702521021_black?
Ajio,Men Round-Toe Lace-Up Sneakers,1036.0,,https://www.ajio.com/red-tape-men-round-toe-lace-up-sneakers-/p/700333398_black?
Ajio,Men Sneakers with Mesh Upper,975.0,,https://www.ajio.com/red-tape-men-sneakers-with-mesh-upper/p/702337886_grey?
Ajio,Men Casual Shoes with PU upper,1020.0,,https://www.ajio.com/red-tape-men-casual-shoes-with-pu-upper/p/701376930_black?
Ajio,Men Round Toe Lace-Up Fastening Shoes,2790.0,,https://www.ajio.com/red-tape-men-round-toe-lace-up-fastening-shoes/p/702974830_teal?
Ajio,Men Lace-Up Sports Shoes with Mesh Upper,1305.0,,https://www.ajio.com/red-tape-men-lace-up-sports-shoes-with-mesh-upper/p/701570309_blue?
Ajio,Women Colourblock Lace-Up Shoes,1281.0,,https://www.ajio.com/red-tape-women-colourblock-lace-up-shoes/p/701306674_blue?
Ajio,Men Round Toe Lace-Up Casual Shoes,1950.0,,https://www.ajio.com/red-tape-men-round-toe-lace-up-casual-shoes-/p/703111699_white?
Ajio,Men Round-Toe Lace-Up Sneakers,1476.0,,https://www.ajio.com/red-tape-men-round-toe-lace-up-sneakers/p/466767407_black?
Ajio,Men Colourblock Lace-Up Running Shoes,1743.0,,https://www.ajio.com/red-tape-men-colourblock-lace-up-running-shoes/p/702150985_navy?
Ajio,Men Logo Print Basketball Sports Shoes with Lace Fastening,2046.0,,https://www.ajio.com/red-tape-men-logo-print-basketball-sports-shoes-with-lace-fastening/p/701368392_white?
Ajio,Round-Toe Sports Shoes with Lace Fastening,1280.0,,https://www.ajio.com/red-tape-round-toe-sports-shoes-with-lace-fastening-/p/700352671_black?
Ajio,Men Colourblock Lace-Up Sneakers,1452.0,,https://www.ajio.com/red-tape-men-colourblock-lace-up-sneakers-/p/701966286_white?
Ajio,Men Lace-Up Casual Shoes with PU upper,1373.0,,https://www.ajio.com/red-tape-men-lace-up-casual-shoes-with-pu-upper/p/701369777_black?
Ajio,Men Sports Shoes with Lace Fastening,1826.0,,https://www.ajio.com/red-tape-men-sports-shoes-with-lace-fastening-/p/701314380_blue?
Ajio,Women Casual Shoes,1050.0,,https://www.ajio.com/red-tape-women-casual-shoes-/p/701165438_brown?
Ajio,Men Low-Top Lace-Up Shoes,2670.0,,https://www.ajio.com/red-tape-men-low-top-lace-up-shoes-/p/703242863_white?
Ajio,Men Flat Sneakers,1494.0,,https://www.ajio.com/red-tape-men-flat-sneakers/p/702426898_grey?
Amazon,Boldfit,899.0,4.0,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MDAxMTAyMDM0MDM4MDMwOjE3NzY0NTk1OTM6c3BfYXRmOjMwMDU4MjE2NzM4ODUzMjo6MDo6&url=%2FBoldfit-Walking-Cushion-Without-Jogging%2Fdp%2FB0F949JDPT%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.euEXOKJ7yzuaqjQEjAf9THMeT4EfREJq-gd4IroMKcTwj6ZG84wD7yStFd6ixK2-bhwCnXMnWX93Yjz3toNUrwiYbEit4CZ77yGYiFA7ywiq64WTMoedPnpFGk39LuwbsW_6kYQJdmw3659iD_VwUeqo707rPaBH4FU5W-gugvaeQWjHWSJKl92M0yP9ARuTLXeVR7UnINQEbiK2MayC4PaaMpVA3cHdFHBsQqGbm-J21w7F61OePhEDa6oX9d7LnYtHVUyfBBu_b5Dd39-rluG00km118gSuMUcz52xbSA.fC8FRgoc_K7eId-YzpiwMroIJIJ5uWwXv9v96yt6lTU%26dib_tag%3Dse%26keywords%3Dredtape%2Bshoes%26qid%3D1776459593%26sr%3D8-1-spons%26aref%3DhNS06Gprlk%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=hNS06Gprlk&sp_cr=ZAZ
Amazon,Boldfit,1399.0,3.9,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MDAxMTAyMDM0MDM4MDMwOjE3NzY0NTk1OTM6c3BfYXRmOjMwMDgwMDA4MzMzNTgzMjo6MDo6&url=%2FBoldfit-Walking-Daywalk-Cushioned-Lightweight%2Fdp%2FB0FVSQY28G%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.euEXOKJ7yzuaqjQEjAf9THMeT4EfREJq-gd4IroMKcTwj6ZG84wD7yStFd6ixK2-bhwCnXMnWX93Yjz3toNUrwiYbEit4CZ77yGYiFA7ywiq64WTMoedPnpFGk39LuwbsW_6kYQJdmw3659iD_VwUeqo707rPaBH4FU5W-gugvaeQWjHWSJKl92M0yP9ARuTLXeVR7UnINQEbiK2MayC4PaaMpVA3cHdFHBsQqGbm-J21w7F61OePhEDa6oX9d7LnYtHVUyfBBu_b5Dd39-rluG00km118gSuMUcz52xbSA.fC8FRgoc_K7eId-YzpiwMroIJIJ5uWwXv9v96yt6lTU%26dib_tag%3Dse%26keywords%3Dredtape%2Bshoes%26qid%3D1776459593%26sr%3D8-2-spons%26aref%3DNTSNfq6OIX%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=NTSNfq6OIX&sp_cr=ZAZ
